datetime,machineID,volt,rotate,pressure,vibration,failure,maintenance,error,replace_comp1,cycle_comp1,ttf_comp1,replace_comp2,cycle_comp2,ttf_comp2,replace_comp3,cycle_comp3,ttf_comp3,replace_comp4,cycle_comp4,ttf_comp4
01/01/2015 06:00,1,176.217853,418.5040782,113.0779355,45.08768576,,,,False,0,95,False,0,2615,False,0,455,False,0,95
01/01/2015 07:00,1,162.8792229,402.7474896,95.46052538,43.41397268,,,,False,1,94,False,1,2614,False,1,454,False,1,94
01/01/2015 08:00,1,170.9899024,527.3498255,75.23790486,34.17884712,,,,False,2,93,False,2,2613,False,2,453,False,2,93
01/01/2015 09:00,1,162.4628333,346.149335,109.2485613,41.12214409,,,,False,3,92,False,3,2612,False,3,452,False,3,92
01/01/2015 10:00,1,157.6100212,435.376873,111.8866482,25.990511,,,,False,4,91,False,4,2611,False,4,451,False,4,91
01/01/2015 11:00,1,172.5048392,430.3233621,95.92704169,35.65501733,,,,False,5,90,False,5,2610,False,5,450,False,5,90
01/01/2015 12:00,1,156.5560306,499.0716231,111.7556843,42.7539197,,,,False,6,89,False,6,2609,False,6,449,False,6,89
01/01/2015 13:00,1,172.5227808,409.624717,101.0010828,35.48200866,,,,False,7,88,False,7,2608,False,7,448,False,7,88
01/01/2015 14:00,1,175.3245239,398.6487807,110.6243605,45.48228685,,,,False,8,87,False,8,2607,False,8,447,False,8,87
01/01/2015 15:00,1,169.2184232,460.8506699,104.84823,39.90173544,,,,False,9,86,False,9,2606,False,9,446,False,9,86
01/01/2015 16:00,1,167.0609807,382.4835429,103.7806625,42.67579991,,,,False,10,85,False,10,2605,False,10,445,False,10,85
01/01/2015 17:00,1,160.2639537,448.084256,96.48097567,38.54368093,,,,False,11,84,False,11,2604,False,11,444,False,11,84
01/01/2015 18:00,1,153.3534915,490.672921,86.01244025,44.10855437,,,,False,12,83,False,12,2603,False,12,443,False,12,83
01/01/2015 19:00,1,182.739113,418.199252,93.48495406,41.36718973,,,,False,13,82,False,13,2602,False,13,442,False,13,82
01/01/2015 20:00,1,170.3354379,402.4611866,93.23578706,39.73988268,,,,False,14,81,False,14,2601,False,14,441,False,14,81
01/01/2015 21:00,1,182.4671093,501.9189727,85.7626147,51.02148612,,,,False,15,80,False,15,2600,False,15,440,False,15,80
01/01/2015 22:00,1,151.3356822,444.9226565,94.24737133,42.11965209,,,,False,16,79,False,16,2599,False,16,439,False,16,79
